Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (Uniform),Proceeds Amount Incl Overallotment Sold All Markets,Proceeds Amount This Market,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Domicile Nation Sub Region,Domicile Nation Region,Issuer/Borrower TRBC Business Sector,Issuer/Borrower TRBC Economic Sector,Lead Left Bookrunner,Managers Tier 1 & Tier 2 ,ECM Flag,Primary Use Of Proceeds,Issuer/Borrower Nation Region,Master Deal Type,All New Issues Manager Roles,Manager's Role,is_authentic
154088484300,5388566,ASPD,BM,BM,5/17/2024,Exio Logistics Sdn Bhd,5087216349.0,Emerging Market Corporate|Investment Grade Corporate,Live,Malaysia,,100.0,20.4909285,1.067235859,,Medium Term Floating Rate Notes,Issued off MTN programme,na,Southeast Asia,Asia Pacific Excluding Central Asia,Transportation,Industrials,,Hong Leong Investment Bank Bhd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,BookRunner,BookRunner,0
154088484307,5388566,ASPD,BM,BM,5/17/2024,Exio Logistics Sdn Bhd,5087216349.0,Investment Grade Corporate|Emerging Market Corporate,Live,Malaysia,,100.0,20.4909285,1.707577375,,Medium Term Floating Rate Notes,Issued off MTN programme,na,Southeast Asia,Asia Pacific Excluding Central Asia,Transportation,Industrials,,Hong Leong Investment Bank Bhd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,BookRunner,BookRunner,0
154088484313,5388566,ASPD,BM,BM,5/17/2024,Exio Logistics Sdn Bhd,5087216349.0,Investment Grade Corporate|Emerging Market Corporate,Live,Malaysia,,100.0,20.4909285,1.707577375,,Medium Term Floating Rate Notes,Issued off MTN programme,na,Southeast Asia,Asia Pacific Excluding Central Asia,Transportation,Industrials,,Hong Leong Investment Bank Bhd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,BookRunner,BookRunner,0
154088485714,5390003,ED,BM,BM,5/9/2024,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,100.0,25.59639603,25.59639603,,Senior Medium Term Notes,Issued off MTN programme,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,BNP Paribas SA,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,BookRunner,BookRunner,0
154088487730,5392063,ASPD,JB|JB|JB|JB|JB,JB|JB|JB|JB|JB,5/21/2024,Republic of Singapore,4296784399.0,"Agency, Supranational, Sovereign",Live,Singapore,,99.053,1801.632146,1801.632146,,Fixed Or Straight Bond,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Government Activity,Government Activity,,Citigroup|DBS Bank Ltd|Hongkong & Shanghai Banking Corp Ltd|Standard Chartered Bank|United Overseas Bank Ltd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner,0
154088492644,5397336,ASPD,JB|JB|JB|JB|JB|JB,JB|JB|JB|JB|JB|JB,5/24/2024,Energy Development Corp,5000638500.0,Emerging Market Corporate|Investment Grade Corporate,Live,Philippines,,100.0,171.8803713,60.15812994,,Fixed Or Straight Bond,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Utilities,Utilities,,BDO Capital Investment Corp|Philippine Commercial Capital Inc|BPI Capital|SB Capital Investment Corp|RCBC Capital Corporation|Development Bank of the Philippines,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner,0
154088492651,5397336,ASPD,JB|JB|JB|JB|JB|JB,JB|JB|JB|JB|JB|JB,5/24/2024,Energy Development Corp,5000638500.0,Emerging Market Corporate|Investment Grade Corporate,Live,Philippines,,100.0,171.8803713,51.56411138,,Fixed Or Straight Bond,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Utilities,Utilities,,BDO Capital Investment Corp|Development Bank of the Philippines|BPI Capital|SB Capital Investment Corp|RCBC Capital Corporation|Philippine Commercial Capital Inc,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner,0
154088492652,5397336,ASPD,JB|JB|JB|JB|JB|JB,JB|JB|JB|JB|JB|JB,5/24/2024,Energy Development Corp,5000638500.0,Investment Grade Corporate|Emerging Market Corporate,Live,Philippines,,100.0,171.8803713,60.15812994,,Fixed Or Straight Bond,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Utilities,Utilities,,BDO Capital Investment Corp|Philippine Commercial Capital Inc|BPI Capital|SB Capital Investment Corp|RCBC Capital Corporation|Development Bank of the Philippines,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner,0
154088494288,5399230,ED,JB|JB|JB,JB|JB|JB,5/28/2024,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,99.995,542.7254866,542.7254866,,Senior Unsecured Notes,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Credit Agricole Corporate & Investment Bank|Deutsche Bank|Morgan Stanley International Ltd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner|Joint Book Runner,0
154088508392,5405083,ED,BM,BM,10/14/2022,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,100.0,7.168905514,7.168905514,,Senior Secured Notes,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Tengri Partners TOO,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,BookRunner,BookRunner,0
154088508402,5405086,ED,BM,BM,1/19/2023,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,100.0,19.24930037,19.24930037,,Senior Unsecured Notes,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Tengri Partners TOO,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,BookRunner,BookRunner,0
154088508438,5405127,ED,BM,BM,5/17/2024,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,100.0,93.37852854,93.37852854,,Senior Medium Term Notes,Issued off MTN programme,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Swedbank,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,BookRunner,BookRunner,0
