name,ric,currency,org_permid,isin
MARCO POLO MARINE,MAPM.SI,S$,4295888058.0,SG1W14938268
MEDTECS INTL.,MTCS.SI,S$,4295887702.0,BMG5958R1043
MEGROUP,MEGR.SI,S$,5066506866.0,SGXE43386122
MENCAST HOLDINGS,MCHL.SI,S$,4298019161.0,SG1X07940643
METECH INTERNATIONAL,METE.SI,S$,4295887857.0,SGXE91187273
MINDCHAMPS PRESCHOOL,MIND.SI,S$,5059048881.0,SG1EA6000002
NERA TELECOM.,NERA.SI,S$,4295887926.0,SG1I64883495
NEW TOYO INTL.HDG.,NTYO.SI,S$,4295887963.0,SG1E32850828
NORDIC GROUP,NRGL.SI,S$,5001172443.0,SG2C45963924
OILTEK INTERNATIONAL,OILT.SI,S$,5082067008.0,SGXE21569376
OLD CHANG KEE,OCKL.SI,S$,4295888133.0,SG1W49939232
OLIVE TREE ESTATES,OLIV.SI,S$,5000085130.0,SG1EB5000001
OSSIA INTERNATIONAL,OSSA.SI,S$,4295887689.0,SG1D61018413
OVERSEAS EDUCATION,OVER.SI,S$,5038034078.0,SG2F49989922
PAN HONG HOLDINGS GROUP,PANH.SI,S$,4295863965.0,BMG6900A1163
POWERMATIC DATA SYSTEMS,PMDS.SI,S$,4295887944.0,SG1BF0000003
PREMIUM CATERING HOLDINGS,PC.O,U$,5087209952.0,KYG722282012
PRIME US REIT,PRIE.SI,U$,5070761460.0,SGXC75818630
PROSPERCAP CORPORATION,PROS.SI,S$,4295887517.0,SGXE73186327
PSC CORPORATION,PSCC.SI,S$,4295887449.0,SG1V81937806
RAFFLES EDUCATION,RLSE.SI,S$,4295887752.0,SG2C97968151
RAFFLES INFRASTRUCTURE HOLDINGS,RAFL.SI,S$,4298025308.0,BMG7354C1038
REPUBLIC POWER GROUP A,RPGL.O,U$,5083371959.0,VGG7523E1135
REX INTERNATIONAL HDG.,REXI.SI,S$,5040054470.0,SG2G04994999
SAMURAI 2K AEROSOL,SAMR.SI,S$,5052883561.0,SGXE31436269
SHANAYA,SHAA.SI,S$,4295887859.0,SGXE61364597
SHANGHAI TURBO ENTS.,SHTU.SI,S$,4295865080.0,KYG8064W1160
