company,ticker,country,Year,emissions_intensity,environmental_investment,internal_carbon_pricing
AN PHAT PLAST.&GRN.ENVM.,VN000000AAA4,Vietnam,2024,693.62220934,,
AN TIEN INDUSTRIES,VN000000HII5,Vietnam,2015,814.48376212,,
AN TIEN INDUSTRIES,VN000000HII5,Vietnam,2016,820.95322642,,
AN TIEN INDUSTRIES,VN000000HII5,Vietnam,2017,856.23595969,,
AN TIEN INDUSTRIES,VN000000HII5,Vietnam,2018,798.91645978,,
AN TIEN INDUSTRIES,VN000000HII5,Vietnam,2019,899.52234881,,
AN TIEN INDUSTRIES,VN000000HII5,Vietnam,2020,1019.23363814,,
AN TIEN INDUSTRIES,VN000000HII5,Vietnam,2021,1005.04563153,,
AN TIEN INDUSTRIES,VN000000HII5,Vietnam,2022,1016.36405356,,
AN TIEN INDUSTRIES,VN000000HII5,Vietnam,2023,1432.12295559,,
AN TIEN INDUSTRIES,VN000000HII5,Vietnam,2024,1574.36521096,,
ANGIANG AGRIC.&. FDS.,VN000000AFX5,Vietnam,2016,645.13854821,,
ANGIANG AGRIC.&. FDS.,VN000000AFX5,Vietnam,2017,684.09873837,,
ANGIANG AGRIC.&. FDS.,VN000000AFX5,Vietnam,2018,674.13029234,,
ANGIANG AGRIC.&. FDS.,VN000000AFX5,Vietnam,2019,688.93864789,,
ANGIANG AGRIC.&. FDS.,VN000000AFX5,Vietnam,2020,673.14551598,,
ANGIANG AGRIC.&. FDS.,VN000000AFX5,Vietnam,2021,720.10151816,,
ANGIANG AGRIC.&. FDS.,VN000000AFX5,Vietnam,2022,712.07722646,,
ANGIANG AGRIC.&. FDS.,VN000000AFX5,Vietnam,2023,625.66395402,,
ANGIANG AGRIC.&. FDS.,VN000000AFX5,Vietnam,2024,655.25575397,,
APG SECURITIES,VN000000APG9,Vietnam,2015,160.43432499,,
APG SECURITIES,VN000000APG9,Vietnam,2016,894.51481571,,
APG SECURITIES,VN000000APG9,Vietnam,2017,228.51606083,,
APG SECURITIES,VN000000APG9,Vietnam,2018,291.57845519,,
APG SECURITIES,VN000000APG9,Vietnam,2019,386.48259688,,
APG SECURITIES,VN000000APG9,Vietnam,2020,551.60501445,,
APG SECURITIES,VN000000APG9,Vietnam,2021,251.16788188,,
APG SECURITIES,VN000000APG9,Vietnam,2023,1450.64741513,,
APG SECURITIES,VN000000APG9,Vietnam,2024,825.49899113,,
ASG CORPORATION,VN000000ASG3,Vietnam,2016,1200.31858642,,
ASG CORPORATION,VN000000ASG3,Vietnam,2017,1094.45017685,,
ASG CORPORATION,VN000000ASG3,Vietnam,2018,767.90898216,,
ASG CORPORATION,VN000000ASG3,Vietnam,2019,754.75395941,,
ASG CORPORATION,VN000000ASG3,Vietnam,2020,770.37736053,,
ASG CORPORATION,VN000000ASG3,Vietnam,2021,594.63083714,,
ASG CORPORATION,VN000000ASG3,Vietnam,2022,569.92505524,,
ASG CORPORATION,VN000000ASG3,Vietnam,2023,606.50379412,,
ASG CORPORATION,VN000000ASG3,Vietnam,2024,560.54629422,,
